"Accuracy","Regret","Method","Scenario","Data","Parameter"
0.577244444444444,106.987862021206,"Q-Learning","linear","train","10"
0.577155555555556,116.646590013195,"Q-Learning","linear","train","10"
0.578133333333333,110.542827790494,"Q-Learning","linear","train","10"
0.568266666666667,109.150922368585,"Q-Learning","linear","train","10"
0.568444444444444,107.742373754497,"Q-Learning","linear","train","10"
0.571644444444445,99.1255894858164,"Q-Learning","linear","train","10"
0.573688888888889,97.5599613725717,"Q-Learning","linear","train","10"
0.577511111111111,114.877745024929,"Q-Learning","linear","train","10"
0.552355555555556,130.971961664378,"Q-Learning","linear","train","10"
0.572177777777778,117.90397570259,"Q-Learning","linear","train","10"
0.579022222222222,104.799952804503,"Q-Learning","linear","train","20"
0.579377777777778,107.71122511669,"Q-Learning","linear","train","20"
0.566933333333333,110.542838792784,"Q-Learning","linear","train","20"
0.587911111111111,118.244607024749,"Q-Learning","linear","train","20"
0.570044444444444,116.730305116119,"Q-Learning","linear","train","20"
0.557955555555556,121.089926174643,"Q-Learning","linear","train","20"
0.578755555555556,105.595198076638,"Q-Learning","linear","train","20"
0.553066666666667,106.089259654825,"Q-Learning","linear","train","20"
0.592177777777778,119.091817117802,"Q-Learning","linear","train","20"
0.542133333333333,109.223318358607,"Q-Learning","linear","train","20"
0.5632,99.7800441721253,"Q-Learning","linear","train","30"
0.552355555555556,116.299316817346,"Q-Learning","linear","train","30"
0.570311111111111,102.897650183168,"Q-Learning","linear","train","30"
0.579377777777778,99.5820303601007,"Q-Learning","linear","train","30"
0.575555555555556,121.226568893501,"Q-Learning","linear","train","30"
0.558666666666667,120.437064499811,"Q-Learning","linear","train","30"
0.548355555555556,124.745579537248,"Q-Learning","linear","train","30"
0.555822222222222,100.016077673717,"Q-Learning","linear","train","30"
0.570755555555556,109.406987231229,"Q-Learning","linear","train","30"
0.606488888888889,105.051068000552,"Q-Learning","linear","train","30"
0.527733333333333,125.671693113526,"Q-Learning","linear","train","40"
0.562577777777778,97.9473335003132,"Q-Learning","linear","train","40"
0.556266666666667,115.547163589959,"Q-Learning","linear","train","40"
0.583111111111111,106.543912994839,"Q-Learning","linear","train","40"
0.5896,95.6917267319968,"Q-Learning","linear","train","40"
0.559022222222222,107.24600346287,"Q-Learning","linear","train","40"
0.594222222222222,106.11809994379,"Q-Learning","linear","train","40"
0.575555555555556,112.410961399323,"Q-Learning","linear","train","40"
0.5688,112.208068540063,"Q-Learning","linear","train","40"
0.572888888888889,104.669636022623,"Q-Learning","linear","train","40"
0.583733333333333,95.7417277573715,"Q-Learning","linear","train","50"
0.578933333333333,109.516070231612,"Q-Learning","linear","train","50"
0.573866666666667,101.691150569367,"Q-Learning","linear","train","50"
0.585777777777778,112.31670230398,"Q-Learning","linear","train","50"
0.612444444444444,106.13021226901,"Q-Learning","linear","train","50"
0.597066666666667,86.0336850964904,"Q-Learning","linear","train","50"
0.560444444444444,110.34774116969,"Q-Learning","linear","train","50"
0.559555555555556,116.18668093378,"Q-Learning","linear","train","50"
0.547733333333333,128.555083412876,"Q-Learning","linear","train","50"
0.576177777777778,109.557167575419,"Q-Learning","linear","train","50"
0.565688888888889,109.705235738329,"Q-Learning","linear","train","60"
0.544977777777778,134.901115412871,"Q-Learning","linear","train","60"
0.555111111111111,131.24804564715,"Q-Learning","linear","train","60"
0.557955555555556,123.247979392105,"Q-Learning","linear","train","60"
0.570577777777778,107.348182407933,"Q-Learning","linear","train","60"
0.564355555555555,114.569891723754,"Q-Learning","linear","train","60"
0.576622222222222,102.93920905166,"Q-Learning","linear","train","60"
0.557333333333333,133.687866276809,"Q-Learning","linear","train","60"
0.576622222222222,113.320999889528,"Q-Learning","linear","train","60"
0.548177777777778,120.63398841213,"Q-Learning","linear","train","60"
