"Accuracy","Regret","Approach","Scenario","Data","Parameter"
0.618666666666667,31.1007259336913,"k-NN Regression","linear interactions","train","10"
0.62,31.8201680486264,"k-NN Regression","linear interactions","train","10"
0.626844444444444,30.2080530892752,"k-NN Regression","linear interactions","train","10"
0.626044444444444,30.6490556201479,"k-NN Regression","linear interactions","train","10"
0.607466666666667,31.7780688809059,"k-NN Regression","linear interactions","train","10"
0.634577777777778,29.1594496823473,"k-NN Regression","linear interactions","train","10"
0.622666666666667,30.6687335710183,"k-NN Regression","linear interactions","train","10"
0.618222222222222,31.0660097331605,"k-NN Regression","linear interactions","train","10"
0.625955555555556,31.3461857867716,"k-NN Regression","linear interactions","train","10"
0.619377777777778,31.2824626676481,"k-NN Regression","linear interactions","train","10"
0.653688888888889,28.840767574465,"k-NN Regression","linear interactions","train","20"
0.6416,29.6534515773597,"k-NN Regression","linear interactions","train","20"
0.647377777777778,28.990079804099,"k-NN Regression","linear interactions","train","20"
0.659733333333333,27.6719699120415,"k-NN Regression","linear interactions","train","20"
0.659733333333333,28.9609739008155,"k-NN Regression","linear interactions","train","20"
0.639377777777778,30.0387850753878,"k-NN Regression","linear interactions","train","20"
0.648977777777778,29.3337483272793,"k-NN Regression","linear interactions","train","20"
0.635111111111111,30.4726554025346,"k-NN Regression","linear interactions","train","20"
0.650666666666667,28.7422674069542,"k-NN Regression","linear interactions","train","20"
0.6416,30.0633723025074,"k-NN Regression","linear interactions","train","20"
0.648177777777778,28.7483452063502,"k-NN Regression","linear interactions","train","30"
0.673333333333333,27.10928618942,"k-NN Regression","linear interactions","train","30"
0.661155555555556,28.6302405164081,"k-NN Regression","linear interactions","train","30"
0.667555555555556,26.6812656772596,"k-NN Regression","linear interactions","train","30"
0.645777777777778,29.4776544960327,"k-NN Regression","linear interactions","train","30"
0.660266666666667,27.3483514538085,"k-NN Regression","linear interactions","train","30"
0.637866666666667,30.4949783907787,"k-NN Regression","linear interactions","train","30"
0.638133333333333,30.1419111232768,"k-NN Regression","linear interactions","train","30"
0.649244444444444,29.6524495681,"k-NN Regression","linear interactions","train","30"
0.670311111111111,27.7846880714737,"k-NN Regression","linear interactions","train","30"
0.670844444444444,28.2950085943431,"k-NN Regression","linear interactions","train","40"
0.660711111111111,28.8367764161053,"k-NN Regression","linear interactions","train","40"
0.662666666666667,28.9127890354095,"k-NN Regression","linear interactions","train","40"
0.694844444444444,26.26651445679,"k-NN Regression","linear interactions","train","40"
0.6768,26.7653989124197,"k-NN Regression","linear interactions","train","40"
0.669866666666667,27.8754829557845,"k-NN Regression","linear interactions","train","40"
0.683377777777778,26.4016002780768,"k-NN Regression","linear interactions","train","40"
0.677066666666667,27.5458318810162,"k-NN Regression","linear interactions","train","40"
0.678577777777778,27.4155506732167,"k-NN Regression","linear interactions","train","40"
0.684177777777778,27.2756651232754,"k-NN Regression","linear interactions","train","40"
0.686044444444444,26.9366532120604,"k-NN Regression","linear interactions","train","50"
0.675733333333333,26.7509571362814,"k-NN Regression","linear interactions","train","50"
0.682133333333333,27.3056227672995,"k-NN Regression","linear interactions","train","50"
0.696088888888889,25.5258926299079,"k-NN Regression","linear interactions","train","50"
0.670577777777778,27.9898324300738,"k-NN Regression","linear interactions","train","50"
0.683644444444444,27.8626909958941,"k-NN Regression","linear interactions","train","50"
0.676622222222222,27.0014015145696,"k-NN Regression","linear interactions","train","50"
0.693511111111111,25.469655673066,"k-NN Regression","linear interactions","train","50"
0.686577777777778,26.1622103833768,"k-NN Regression","linear interactions","train","50"
0.692266666666667,26.7345136646233,"k-NN Regression","linear interactions","train","50"
0.6848,26.4029637636851,"k-NN Regression","linear interactions","train","60"
0.695911111111111,26.0055684652489,"k-NN Regression","linear interactions","train","60"
0.6672,28.37064218636,"k-NN Regression","linear interactions","train","60"
0.689066666666667,26.0597744789277,"k-NN Regression","linear interactions","train","60"
0.696,25.4911458049496,"k-NN Regression","linear interactions","train","60"
0.681333333333333,27.6019163906079,"k-NN Regression","linear interactions","train","60"
0.687733333333333,26.2313768315594,"k-NN Regression","linear interactions","train","60"
0.683911111111111,27.3634375025149,"k-NN Regression","linear interactions","train","60"
0.670488888888889,28.3873391658191,"k-NN Regression","linear interactions","train","60"
0.683022222222222,27.4517391058709,"k-NN Regression","linear interactions","train","60"
0.681422222222222,27.4312068682969,"k-NN Regression","linear interactions","train","70"
0.696266666666667,25.9765803096256,"k-NN Regression","linear interactions","train","70"
0.699733333333333,25.924919849513,"k-NN Regression","linear interactions","train","70"
0.688888888888889,26.8356738786801,"k-NN Regression","linear interactions","train","70"
0.695822222222222,25.2747029643561,"k-NN Regression","linear interactions","train","70"
0.696533333333333,25.7622990862423,"k-NN Regression","linear interactions","train","70"
0.691022222222222,26.3491862447741,"k-NN Regression","linear interactions","train","70"
0.703555555555556,25.2629060603665,"k-NN Regression","linear interactions","train","70"
0.690755555555556,26.6272084749566,"k-NN Regression","linear interactions","train","70"
0.671733333333333,27.4401269593394,"k-NN Regression","linear interactions","train","70"
0.702666666666667,26.211891640424,"k-NN Regression","linear interactions","train","80"
0.680355555555556,27.5897342502634,"k-NN Regression","linear interactions","train","80"
