"Accuracy","Regret","Approach","Scenario","Data"
0.714844444444444,21.2918527557463,"Q-Learning","linear interactions","train"
0.711733333333333,21.592724957215,"Q-Learning","linear interactions","train"
0.718311111111111,20.736745238101,"Q-Learning","linear interactions","train"
0.729333333333333,19.1955742471471,"Q-Learning","linear interactions","train"
0.721688888888889,21.0711278304964,"Q-Learning","linear interactions","train"
0.723022222222222,19.7391629403053,"Q-Learning","linear interactions","train"
0.708266666666667,22.1365974887314,"Q-Learning","linear interactions","train"
0.724444444444444,19.6549527872544,"Q-Learning","linear interactions","train"
0.7248,19.5340275783767,"Q-Learning","linear interactions","train"
0.721422222222222,19.9928932583795,"Q-Learning","linear interactions","train"
0.715822222222222,21.1134799090371,"Q-Learning","linear interactions","train"
0.711022222222222,21.4361120843313,"Q-Learning","linear interactions","train"
0.724,19.637393729485,"Q-Learning","linear interactions","train"
0.709333333333333,21.4134669645332,"Q-Learning","linear interactions","train"
0.716711111111111,20.9960402926665,"Q-Learning","linear interactions","train"
0.714844444444444,20.9249178594167,"Q-Learning","linear interactions","train"
0.719466666666667,21.0347993456456,"Q-Learning","linear interactions","train"
0.722311111111111,19.8333628091353,"Q-Learning","linear interactions","train"
0.716,20.6259461511213,"Q-Learning","linear interactions","train"
0.7208,20.3251861226344,"Q-Learning","linear interactions","train"
0.712444444444444,21.4704097487538,"Q-Learning","linear interactions","train"
0.7112,21.2586742669269,"Q-Learning","linear interactions","train"
0.710133333333333,21.6982770567704,"Q-Learning","linear interactions","train"
0.718133333333333,20.015862144862,"Q-Learning","linear interactions","train"
0.714666666666667,21.3592861933989,"Q-Learning","linear interactions","train"
0.727555555555556,19.7089687298864,"Q-Learning","linear interactions","train"
0.716711111111111,21.3981046818067,"Q-Learning","linear interactions","train"
0.717777777777778,20.5228833551182,"Q-Learning","linear interactions","train"
0.727733333333333,20.1496778124392,"Q-Learning","linear interactions","train"
0.714133333333333,20.9572746118203,"Q-Learning","linear interactions","train"
0.722222222222222,20.3241620330223,"Q-Learning","linear interactions","train"
0.7232,21.1354174425771,"Q-Learning","linear interactions","train"
0.716444444444444,20.9188660039512,"Q-Learning","linear interactions","train"
0.718044444444444,20.883038234241,"Q-Learning","linear interactions","train"
0.719022222222222,21.2087826575703,"Q-Learning","linear interactions","train"
0.711555555555556,21.5318827073295,"Q-Learning","linear interactions","train"
0.713244444444444,20.735131908595,"Q-Learning","linear interactions","train"
0.72,21.2510657970023,"Q-Learning","linear interactions","train"
0.708711111111111,21.9157513874014,"Q-Learning","linear interactions","train"
0.718933333333333,20.7772759183201,"Q-Learning","linear interactions","train"
0.718488888888889,20.8664157702353,"Q-Learning","linear interactions","train"
0.728977777777778,19.1683584015996,"Q-Learning","linear interactions","train"
0.712266666666667,21.7682497600047,"Q-Learning","linear interactions","train"
0.7232,20.5709291809729,"Q-Learning","linear interactions","train"
0.710755555555556,21.2267444572462,"Q-Learning","linear interactions","train"
0.714844444444444,21.4417360812974,"Q-Learning","linear interactions","train"
0.715466666666667,20.9486632872856,"Q-Learning","linear interactions","train"
0.723555555555556,20.2173801839554,"Q-Learning","linear interactions","train"
0.710133333333333,20.986101676817,"Q-Learning","linear interactions","train"
0.715377777777778,21.0232212788815,"Q-Learning","linear interactions","train"
0.716888888888889,21.0091663839777,"Q-Learning","linear interactions","train"
0.716177777777778,20.7101741198037,"Q-Learning","linear interactions","train"
0.722311111111111,20.6203478817121,"Q-Learning","linear interactions","train"
0.722577777777778,19.8585390682398,"Q-Learning","linear interactions","train"
0.713155555555556,19.9955951391711,"Q-Learning","linear interactions","train"
0.729333333333333,19.5732885862567,"Q-Learning","linear interactions","train"
0.720444444444444,21.1105819350277,"Q-Learning","linear interactions","train"
0.7112,21.4388509739934,"Q-Learning","linear interactions","train"
0.708444444444444,22.196332087516,"Q-Learning","linear interactions","train"
0.719111111111111,20.8091127228065,"Q-Learning","linear interactions","train"
0.706044444444444,21.5868558980551,"Q-Learning","linear interactions","train"
0.712533333333333,21.177257019672,"Q-Learning","linear interactions","train"
0.724444444444444,19.9178420320448,"Q-Learning","linear interactions","train"
0.720177777777778,20.6721942462646,"Q-Learning","linear interactions","train"
0.725066666666667,19.6029565326807,"Q-Learning","linear interactions","train"
0.728444444444444,18.964486355097,"Q-Learning","linear interactions","train"
0.707466666666667,22.0022583017073,"Q-Learning","linear interactions","train"
0.718044444444444,21.1001135047433,"Q-Learning","linear interactions","train"
0.728622222222222,19.9025756602957,"Q-Learning","linear interactions","train"
0.711822222222222,21.5944018986283,"Q-Learning","linear interactions","train"
0.719644444444444,20.0582288550173,"Q-Learning","linear interactions","train"
0.726044444444444,20.2375799771307,"Q-Learning","linear interactions","train"
0.718755555555556,20.1867060272331,"Q-Learning","linear interactions","train"
0.709955555555556,21.3161668534143,"Q-Learning","linear interactions","train"
0.719111111111111,20.736847511512,"Q-Learning","linear interactions","train"
0.713244444444444,21.5818543256501,"Q-Learning","linear interactions","train"
0.712088888888889,21.2797210047461,"Q-Learning","linear interactions","train"
0.712888888888889,21.106576824093,"Q-Learning","linear interactions","train"
0.731022222222222,19.1965518989986,"Q-Learning","linear interactions","train"
0.707377777777778,22.2959705946861,"Q-Learning","linear interactions","train"
0.723022222222222,21.0611289920001,"Q-Learning","linear interactions","train"
0.709422222222222,22.0152930122108,"Q-Learning","linear interactions","train"
0.718577777777778,20.978735455902,"Q-Learning","linear interactions","train"
0.703377777777778,22.4974880865603,"Q-Learning","linear interactions","train"
0.728533333333333,19.0036086042333,"Q-Learning","linear interactions","train"
0.717688888888889,20.3217020391654,"Q-Learning","linear interactions","train"
0.715288888888889,21.347697791359,"Q-Learning","linear interactions","train"
0.711822222222222,20.5802484044848,"Q-Learning","linear interactions","train"
0.715911111111111,20.3455951800827,"Q-Learning","linear interactions","train"
0.717955555555556,20.7019339030483,"Q-Learning","linear interactions","train"
0.719377777777778,20.0454313928106,"Q-Learning","linear interactions","train"
0.719377777777778,20.8885526514396,"Q-Learning","linear interactions","train"
0.717244444444444,20.7776871355057,"Q-Learning","linear interactions","train"
0.718666666666667,20.5575296666353,"Q-Learning","linear interactions","train"
0.716888888888889,21.0021986944034,"Q-Learning","linear interactions","train"
0.713777777777778,21.4618462210399,"Q-Learning","linear interactions","train"
0.7336,18.9089433677945,"Q-Learning","linear interactions","train"
0.718755555555556,20.0613067904376,"Q-Learning","linear interactions","train"
0.716088888888889,19.8659368847347,"Q-Learning","linear interactions","train"
0.717244444444444,21.4506683324317,"Q-Learning","linear interactions","train"
0.7376,17.5294100603062,"DWOLS","linear interactions","train"
0.7224,20.5318775046345,"DWOLS","linear interactions","train"
0.721066666666667,19.9058612810528,"DWOLS","linear interactions","train"
0.7216,20.7850557263699,"DWOLS","linear interactions","train"
0.74,17.9806436872633,"DWOLS","linear interactions","train"
0.721244444444444,20.5820492518966,"DWOLS","linear interactions","train"
0.732977777777778,18.8361068236889,"DWOLS","linear interactions","train"
0.715733333333333,20.1700559291593,"DWOLS","linear interactions","train"
0.716444444444444,21.0590418499115,"DWOLS","linear interactions","train"
0.722044444444444,20.3629474001745,"DWOLS","linear interactions","train"
0.723377777777778,20.0334820930309,"DWOLS","linear interactions","train"
0.717511111111111,20.2650732914214,"DWOLS","linear interactions","train"
0.723288888888889,19.8617919979473,"DWOLS","linear interactions","train"
0.715466666666667,20.4239305894329,"DWOLS","linear interactions","train"
0.736177777777778,18.6883951189786,"DWOLS","linear interactions","train"
0.7328,18.9859989985662,"DWOLS","linear interactions","train"
0.725688888888889,20.5734240740806,"DWOLS","linear interactions","train"
0.737511111111111,17.8235755959614,"DWOLS","linear interactions","train"
